customer_id,signup_date,acquisition_channel,country,device_type,customer_segment,base_aov,repeat_score,discount_probability,refund_probability,total_orders,total_revenue,total_profit,avg_order_value,total_refunds,discount_order_rate,first_order_date,last_order_date,customer_lifetime_days,repeat_customer
C00001,2024-05-01,Referral,US,Mobile,Steady Repeaters,104.14,4.0,0.23,0.05,4,394.32,224.43,98.58,0.0,0.0,2024-05-01,2024-09-10,132,True
C00002,2025-01-20,Email,France,Desktop,One-Time Buyers,88.7,1.59,0.38,0.07,1,73.04,-3.84,73.04,38.81,0.0,2025-01-20,2025-01-20,0,False
C00003,2025-04-19,Organic,UK,Mobile,Steady Repeaters,79.81,3.52,0.24,0.05,2,137.20999999999998,69.44,68.60499999999999,0.0,0.5,2025-04-19,2025-06-25,67,True
C00004,2024-08-31,Organic,UK,Desktop,Steady Repeaters,99.71,3.52,0.24,0.05,3,349.43,194.41,116.47666666666667,0.0,0.3333333333333333,2024-08-31,2024-12-12,103,True
C00005,2024-06-15,Email,US,Mobile,Promo Shoppers,51.29,3.48,0.59,0.08,3,136.28,58.69,45.42666666666667,0.0,0.3333333333333333,2024-06-15,2024-09-20,97,True
C00006,2025-03-03,Organic,UK,Desktop,VIP Loyalists,162.39,6.05,0.14,0.03,3,419.62,229.0,139.87333333333333,0.0,0.0,2025-03-03,2025-05-03,61,True
C00007,2025-01-22,Email,Germany,Mobile,Promo Shoppers,89.85,3.48,0.59,0.08,1,79.48,51.54,79.48,0.0,0.0,2025-01-22,2025-01-22,0,False
C00008,2024-06-10,Organic,France,Desktop,Promo Shoppers,45.6,2.64,0.66,0.08,2,70.36,24.98,35.18,0.0,0.0,2024-06-10,2024-08-07,58,True
C00009,2025-04-06,Referral,US,Mobile,Steady Repeaters,83.86,4.0,0.23,0.05,1,100.41,-4.25,100.41,56.25,0.0,2025-04-06,2025-04-06,0,False
C00010,2025-01-14,Facebook,UK,Mobile,Steady Repeaters,60.56,2.24,0.34,0.05,2,138.75,80.81,69.375,0.0,0.0,2025-01-14,2025-02-16,33,True
C00011,2025-06-04,Organic,UK,Mobile,Steady Repeaters,84.85,3.52,0.24,0.05,1,93.12,52.48,93.12,0.0,0.0,2025-06-04,2025-06-04,0,False
C00012,2024-10-15,Facebook,US,Desktop,VIP Loyalists,129.4,3.85,0.2,0.03,4,649.34,366.06,162.335,0.0,0.0,2024-10-15,2025-01-17,94,True
C00013,2024-07-19,Referral,US,Desktop,Promo Shoppers,55.0,3.0,0.63,0.08,2,76.31,25.91,38.155,0.0,0.5,2024-07-19,2024-09-10,53,True
C00014,2025-06-30,Organic,UK,Desktop,VIP Loyalists,161.99,6.05,0.14,0.03,1,162.23,89.01,162.23,0.0,0.0,2025-06-30,2025-06-30,0,False
C00015,2024-08-05,Email,US,Desktop,Promo Shoppers,72.8,3.48,0.59,0.08,3,228.48000000000002,113.96,76.16000000000001,0.0,0.3333333333333333,2024-08-05,2024-12-11,128,True
C00016,2024-08-28,Facebook,UK,Mobile,VIP Loyalists,104.65,3.85,0.2,0.03,4,460.83000000000004,233.76999999999998,115.20750000000001,0.0,0.25,2024-08-28,2024-11-30,94,True
C00017,2024-06-19,Google,Germany,Mobile,Steady Repeaters,125.31,3.2,0.25,0.05,1,140.37,86.05,140.37,0.0,0.0,2024-06-19,2024-06-19,0,False
C00018,2024-01-28,Google,UK,Mobile,Seasonal Gifters,125.82,1.8,0.3,0.04,3,219.32,101.35000000000001,73.10666666666667,0.0,0.3333333333333333,2024-01-28,2025-01-03,341,True
C00019,2024-12-13,Organic,Germany,Mobile,Steady Repeaters,105.86,3.52,0.24,0.05,3,318.77,154.89,106.25666666666666,0.0,0.6666666666666666,2024-12-13,2025-03-09,86,True
C00020,2024-09-15,Google,UK,Mobile,Steady Repeaters,95.72,3.2,0.25,0.05,1,82.67,39.06,82.67,0.0,0.0,2024-09-15,2024-09-15,0,False
C00021,2024-08-21,Google,UK,Mobile,VIP Loyalists,156.51,5.5,0.15,0.03,2,321.86,107.61,160.93,69.93,0.0,2024-08-21,2024-10-04,44,True
C00022,2025-05-11,Google,US,Mobile,Steady Repeaters,97.13,3.2,0.25,0.05,2,256.91999999999996,121.80000000000001,128.45999999999998,0.0,0.0,2025-05-11,2025-06-05,25,True
C00023,2024-03-21,Organic,US,Desktop,Steady Repeaters,88.37,3.52,0.24,0.05,2,138.07999999999998,78.58000000000001,69.03999999999999,0.0,1.0,2024-03-21,2024-05-14,54,True
C00024,2025-02-19,Google,US,Mobile,Steady Repeaters,98.42,3.2,0.25,0.05,3,283.1,137.39,94.36666666666667,0.0,0.3333333333333333,2025-02-19,2025-05-26,96,True
C00025,2024-10-20,Email,UK,Mobile,Promo Shoppers,110.45,3.48,0.59,0.08,2,232.07,104.3,116.035,0.0,0.5,2024-10-20,2024-12-19,60,True
C00026,2024-05-03,Google,UK,Desktop,One-Time Buyers,50.59,1.1,0.45,0.07,1,40.78,-19.56,40.78,40.58,0.0,2024-05-03,2024-05-03,0,False
C00027,2025-02-06,Facebook,Germany,Mobile,Promo Shoppers,75.07,1.68,0.9,0.08,1,55.05,-23.49,55.05,44.3,1.0,2025-02-06,2025-02-06,0,False
C00028,2024-12-03,Email,France,Mobile,Steady Repeaters,119.69,4.64,0.21,0.05,3,358.59,140.89,119.52999999999999,54.41,0.0,2024-12-03,2025-04-03,121,True
C00029,2025-02-18,Facebook,US,Mobile,One-Time Buyers,51.61,0.77,0.61,0.07,1,39.2,-3.44,39.2,18.6,1.0,2025-02-18,2025-02-18,0,False
C00030,2024-01-02,Facebook,UK,Mobile,One-Time Buyers,60.92,0.77,0.61,0.07,1,44.74,18.22,44.74,0.0,1.0,2024-01-02,2024-01-02,0,False
C00031,2024-01-09,Referral,UK,Desktop,Seasonal Gifters,128.48,2.25,0.27,0.04,1,115.51,44.1,115.51,0.0,0.0,2024-01-09,2024-01-09,0,False
C00032,2025-02-23,Facebook,UK,Desktop,One-Time Buyers,44.39,0.77,0.61,0.07,1,28.18,11.05,28.18,0.0,1.0,2025-02-23,2025-02-23,0,False
C00033,2024-04-08,Google,UK,Mobile,Seasonal Gifters,107.55,1.8,0.3,0.04,2,239.11,98.41999999999999,119.555,0.0,0.0,2024-04-08,2024-09-02,147,True
C00034,2025-02-01,Referral,UK,Mobile,Promo Shoppers,48.28,3.0,0.63,0.08,3,168.6,94.76,56.199999999999996,0.0,0.0,2025-02-01,2025-06-09,128,True
C00035,2025-02-04,Facebook,US,Desktop,Steady Repeaters,86.08,2.24,0.34,0.05,3,255.95999999999998,132.69,85.32,0.0,0.6666666666666666,2025-02-04,2025-06-24,140,True
C00036,2024-08-17,Google,UK,Mobile,Promo Shoppers,49.04,2.4,0.7,0.08,1,48.71,22.45,48.71,0.0,1.0,2024-08-17,2024-08-17,0,False
C00037,2024-10-10,Referral,US,Desktop,Steady Repeaters,113.14,4.0,0.23,0.05,3,458.64,235.78,152.88,0.0,0.0,2024-10-10,2024-12-21,72,True
C00038,2025-05-26,Google,UK,Desktop,Steady Repeaters,105.96,3.2,0.25,0.05,1,83.31,33.41,83.31,0.0,0.0,2025-05-26,2025-05-26,0,False
C00039,2024-04-08,Referral,France,Desktop,Steady Repeaters,109.3,4.0,0.23,0.05,4,439.96000000000004,138.45000000000002,109.99000000000001,99.48,0.0,2024-04-08,2024-10-02,177,True
C00040,2024-06-09,Referral,UK,Mobile,Promo Shoppers,48.13,3.0,0.63,0.08,6,239.73000000000002,75.02,39.955000000000005,15.07,0.8333333333333334,2024-06-09,2025-05-24,349,True
C00041,2024-11-18,Email,UK,Tablet,Steady Repeaters,94.0,4.64,0.21,0.05,3,324.42,187.63,108.14,0.0,0.3333333333333333,2024-11-18,2025-02-17,91,True
C00042,2025-01-20,Referral,UK,Mobile,Promo Shoppers,81.17,3.0,0.63,0.08,3,173.99,59.480000000000004,57.99666666666667,0.0,1.0,2025-01-20,2025-05-31,131,True
C00043,2024-02-08,Facebook,UK,Desktop,Steady Repeaters,92.29,2.24,0.34,0.05,4,375.40000000000003,209.81,93.85000000000001,0.0,0.0,2024-02-08,2024-08-03,177,True
C00044,2024-02-05,Referral,Germany,Mobile,One-Time Buyers,60.64,1.38,0.41,0.07,1,45.55,21.99,45.55,0.0,1.0,2024-02-05,2024-02-05,0,False
C00045,2025-04-15,Google,US,Desktop,One-Time Buyers,69.11,1.1,0.45,0.07,1,52.38,24.53,52.38,0.0,0.0,2025-04-15,2025-04-15,0,False
C00046,2024-07-08,Facebook,UK,Mobile,Promo Shoppers,58.53,1.68,0.9,0.08,1,40.53,10.72,40.53,0.0,1.0,2024-07-08,2024-07-08,0,False
C00047,2024-02-23,Google,UK,Mobile,Steady Repeaters,68.38,3.2,0.25,0.05,1,79.87,44.69,79.87,0.0,0.0,2024-02-23,2024-02-23,0,False
C00048,2024-12-15,Organic,France,Mobile,One-Time Buyers,70.11,1.21,0.43,0.07,1,82.73,40.29,82.73,0.0,0.0,2024-12-15,2024-12-15,0,False
C00049,2024-04-15,Google,US,Tablet,Promo Shoppers,95.26,2.4,0.7,0.08,2,175.73000000000002,62.61,87.86500000000001,0.0,0.5,2024-04-15,2024-06-25,71,True
C00050,2024-04-26,Organic,UK,Mobile,Steady Repeaters,85.57,3.52,0.24,0.05,3,228.95,104.16,76.31666666666666,27.24,0.0,2024-04-26,2024-08-14,110,True
C00051,2025-05-27,Organic,US,Mobile,VIP Loyalists,109.02,6.05,0.14,0.03,3,328.4,172.99,109.46666666666665,0.0,0.3333333333333333,2025-05-27,2025-06-30,34,True
C00052,2024-07-07,Organic,France,Desktop,VIP Loyalists,133.14,6.05,0.14,0.03,7,1081.4,612.39,154.4857142857143,0.0,0.0,2024-07-07,2025-01-21,198,True
C00053,2024-03-16,Google,US,Mobile,One-Time Buyers,53.34,1.1,0.45,0.07,1,46.73,28.65,46.73,0.0,0.0,2024-03-16,2024-03-16,0,False
