order_id,customer_id,order_date,order_number,acquisition_channel,country,device_type,customer_segment,product_category,units,gross_revenue,discount_amount,net_revenue,shipping_revenue,cogs,fulfilment_cost,payment_fee,refund_amount,net_profit,profit_margin_pct,used_discount,order_status,days_since_prior_order
O000001,C00001,2024-05-01,1,Referral,US,Mobile,Steady Repeaters,Beauty,2,115.7,0.0,115.7,0.0,43.79,4.82,3.56,0.0,63.54,54.92,False,Completed,
O000002,C00001,2024-06-29,2,Referral,US,Mobile,Steady Repeaters,Bundles,2,102.92,0.0,102.92,2.99,43.79,4.62,3.18,0.0,54.31,52.77,False,Completed,59.0
O000003,C00001,2024-07-16,3,Referral,US,Mobile,Steady Repeaters,Supplements,1,76.26,0.0,76.26,4.99,33.32,3.84,2.41,0.0,41.67,54.64,False,Completed,17.0
O000004,C00001,2024-09-10,4,Referral,US,Mobile,Steady Repeaters,Accessories,1,99.44,0.0,99.44,3.99,32.05,3.38,3.08,0.0,64.91,65.28,False,Completed,56.0
O000005,C00002,2025-01-20,1,Email,France,Desktop,One-Time Buyers,Gift Sets,2,73.04,0.0,73.04,4.99,36.61,4.13,2.32,38.81,-3.84,-5.26,False,Completed,
O000006,C00003,2025-04-19,1,Organic,UK,Mobile,Steady Repeaters,Bundles,1,79.32,7.0,72.32,4.99,35.45,3.45,2.3,0.0,36.11,49.93,True,Completed,
O000007,C00003,2025-06-25,2,Organic,UK,Mobile,Steady Repeaters,Beauty,1,64.89,0.0,64.89,0.0,26.18,3.3,2.08,0.0,33.33,51.36,False,Completed,67.0
O000008,C00004,2024-08-31,1,Organic,UK,Desktop,Steady Repeaters,Accessories,1,123.3,0.0,123.3,2.99,37.27,3.55,3.78,0.0,81.69,66.26,False,Completed,
O000009,C00004,2024-11-02,2,Organic,UK,Desktop,Steady Repeaters,Bundles,1,117.25,0.0,117.25,0.0,51.43,3.31,3.6,0.0,58.9,50.24,False,Refunded,63.0
O000010,C00004,2024-12-12,3,Organic,UK,Desktop,Steady Repeaters,Supplements,3,123.85,14.97,108.88,3.99,49.73,5.96,3.36,0.0,53.82,49.43,True,Completed,40.0
O000011,C00005,2024-06-15,1,Email,US,Mobile,Promo Shoppers,Supplements,2,53.38,0.0,53.38,4.99,23.0,4.98,1.75,0.0,28.64,53.65,False,Completed,
O000012,C00005,2024-07-30,2,Email,US,Mobile,Promo Shoppers,Home,2,49.03,0.0,49.03,4.99,28.54,4.58,1.62,0.0,19.28,39.32,False,Completed,45.0
O000013,C00005,2024-09-20,3,Email,US,Mobile,Promo Shoppers,Bundles,2,41.98,8.11,33.87,2.99,19.88,5.03,1.18,0.0,10.77,31.8,True,Completed,52.0
O000014,C00006,2025-03-03,1,Organic,UK,Desktop,VIP Loyalists,Accessories,1,126.52,0.0,126.52,0.0,42.71,3.53,3.87,0.0,76.42,60.4,False,Completed,
O000015,C00006,2025-03-30,2,Organic,UK,Desktop,VIP Loyalists,Home,2,135.24,0.0,135.24,0.0,72.85,4.9,4.12,0.0,53.37,39.46,False,Refunded,27.0
O000016,C00006,2025-05-03,3,Organic,UK,Desktop,VIP Loyalists,Accessories,1,157.86,0.0,157.86,0.0,50.17,3.71,4.78,0.0,99.21,62.85,False,Completed,34.0
O000017,C00007,2025-01-22,1,Email,Germany,Mobile,Promo Shoppers,Accessories,2,79.48,0.0,79.48,2.99,24.12,4.31,2.5,0.0,51.54,64.84,False,Completed,
O000018,C00008,2024-06-10,1,Organic,France,Desktop,Promo Shoppers,Gift Sets,3,40.57,0.0,40.57,0.0,19.21,5.81,1.38,0.0,14.17,34.92,False,Completed,
O000019,C00008,2024-08-07,2,Organic,France,Desktop,Promo Shoppers,Gift Sets,1,29.79,0.0,29.79,0.0,14.28,3.63,1.06,0.0,10.81,36.3,False,Completed,58.0
O000020,C00009,2025-04-06,1,Referral,US,Mobile,Steady Repeaters,Beauty,3,100.41,0.0,100.41,0.0,39.36,5.94,3.11,56.25,-4.25,-4.24,False,Completed,
O000021,C00010,2025-01-14,1,Facebook,UK,Mobile,Steady Repeaters,Beauty,2,68.53,0.0,68.53,3.99,25.28,4.49,2.19,0.0,40.55,59.18,False,Completed,
O000022,C00010,2025-02-16,2,Facebook,UK,Mobile,Steady Repeaters,Beauty,1,70.22,0.0,70.22,3.99,27.94,3.78,2.24,0.0,40.26,57.32,False,Completed,33.0
O000023,C00011,2025-06-04,1,Organic,UK,Mobile,Steady Repeaters,Beauty,1,93.12,0.0,93.12,2.99,37.26,3.47,2.9,0.0,52.48,56.35,False,Completed,
O000024,C00012,2024-10-15,1,Facebook,US,Desktop,VIP Loyalists,Beauty,1,136.18,0.0,136.18,0.0,49.5,3.71,4.15,0.0,78.82,57.88,False,Refunded,
O000025,C00012,2024-11-12,2,Facebook,US,Desktop,VIP Loyalists,Beauty,3,174.06,0.0,174.06,2.99,64.42,5.3,5.25,0.0,102.08,58.65,False,Completed,28.0
O000026,C00012,2024-12-19,3,Facebook,US,Desktop,VIP Loyalists,Accessories,1,189.13,0.0,189.13,0.0,62.1,3.61,5.68,0.0,117.74,62.25,False,Completed,37.0
O000027,C00012,2025-01-17,4,Facebook,US,Desktop,VIP Loyalists,Gift Sets,2,149.97,0.0,149.97,3.99,77.68,4.31,4.55,0.0,67.42,44.96,False,Completed,29.0
O000028,C00013,2024-07-19,1,Referral,US,Desktop,Promo Shoppers,Supplements,4,42.75,0.0,42.75,0.0,17.61,7.48,1.44,0.0,16.23,37.96,False,Completed,
O000029,C00013,2024-09-10,2,Referral,US,Desktop,Promo Shoppers,Supplements,1,47.63,14.07,33.56,0.0,18.84,3.87,1.17,0.0,9.68,28.85,True,Completed,53.0
O000030,C00014,2025-06-30,1,Organic,UK,Desktop,VIP Loyalists,Beauty,2,162.23,0.0,162.23,0.0,63.08,5.23,4.9,0.0,89.01,54.87,False,Completed,
O000031,C00015,2024-08-05,1,Email,US,Desktop,Promo Shoppers,Accessories,2,61.24,15.29,45.95,0.0,18.86,5.01,1.53,0.0,20.55,44.73,True,Completed,
O000032,C00015,2024-09-17,2,Email,US,Desktop,Promo Shoppers,Bundles,1,68.29,0.0,68.29,3.99,31.88,3.53,2.18,0.0,34.68,50.79,False,Completed,43.0
O000033,C00015,2024-12-11,3,Email,US,Desktop,Promo Shoppers,Supplements,2,114.24,0.0,114.24,0.0,47.41,4.59,3.51,0.0,58.73,51.41,False,Completed,85.0
O000034,C00016,2024-08-28,1,Facebook,UK,Mobile,VIP Loyalists,Accessories,3,116.64,0.0,116.64,3.99,39.79,5.21,3.58,0.0,72.06,61.77,False,Completed,
O000035,C00016,2024-10-06,2,Facebook,UK,Mobile,VIP Loyalists,Supplements,1,71.1,4.37,66.73,0.0,31.13,3.42,2.14,0.0,30.05,45.03,True,Completed,39.0
O000036,C00016,2024-11-11,3,Facebook,UK,Mobile,VIP Loyalists,Bundles,1,129.3,0.0,129.3,3.99,56.44,3.71,3.95,0.0,69.19,53.51,False,Completed,36.0
O000037,C00016,2024-11-30,4,Facebook,UK,Mobile,VIP Loyalists,Gift Sets,3,148.16,0.0,148.16,0.0,75.02,6.17,4.5,0.0,62.47,42.17,False,Refunded,19.0
O000038,C00017,2024-06-19,1,Google,Germany,Mobile,Steady Repeaters,Beauty,1,140.37,0.0,140.37,4.99,51.52,3.52,4.27,0.0,86.05,61.3,False,Completed,
O000039,C00018,2024-01-28,1,Google,UK,Mobile,Seasonal Gifters,Beauty,1,20.0,0.0,20.0,4.99,7.83,3.9,0.78,0.0,12.49,62.44,False,Completed,
O000040,C00018,2024-08-16,2,Google,UK,Mobile,Seasonal Gifters,Supplements,2,116.55,0.0,116.55,2.99,49.4,4.47,3.58,0.0,62.09,53.27,False,Completed,201.0
O000041,C00018,2025-01-03,3,Google,UK,Mobile,Seasonal Gifters,Home,3,96.25,13.48,82.77,2.99,50.7,5.69,2.6,0.0,26.77,32.35,True,Completed,140.0
O000042,C00019,2024-12-13,1,Organic,Germany,Mobile,Steady Repeaters,Beauty,1,136.54,0.0,136.54,0.0,51.29,3.31,4.16,0.0,77.78,56.96,False,Completed,
O000043,C00019,2025-01-24,2,Organic,Germany,Mobile,Steady Repeaters,Beauty,1,93.26,9.31,83.95,0.0,36.92,3.34,2.63,0.0,41.05,48.9,True,Completed,42.0
O000044,C00019,2025-03-09,3,Organic,Germany,Mobile,Steady Repeaters,Gift Sets,2,108.64,10.35,98.28,2.99,57.52,4.63,3.05,0.0,36.06,36.69,True,Completed,44.0
O000045,C00020,2024-09-15,1,Google,UK,Mobile,Steady Repeaters,Supplements,2,82.67,0.0,82.67,0.0,36.6,4.42,2.6,0.0,39.06,47.25,False,Completed,
O000046,C00021,2024-08-21,1,Google,UK,Mobile,VIP Loyalists,Beauty,1,163.51,0.0,163.51,0.0,60.95,3.46,4.94,69.93,24.23,14.82,False,Completed,
O000047,C00021,2024-10-04,2,Google,UK,Mobile,VIP Loyalists,Supplements,3,158.35,0.0,158.35,0.0,64.69,5.49,4.79,0.0,83.38,52.65,False,Completed,44.0
O000048,C00022,2025-05-11,1,Google,US,Mobile,Steady Repeaters,Bundles,3,132.85,0.0,132.85,2.99,63.61,6.65,4.05,0.0,61.53,46.31,False,Completed,
O000049,C00022,2025-06-05,2,Google,US,Mobile,Steady Repeaters,Gift Sets,1,124.07,0.0,124.07,2.99,59.68,3.31,3.8,0.0,60.27,48.58,False,Completed,25.0
O000050,C00023,2024-03-21,1,Organic,US,Desktop,Steady Repeaters,Accessories,1,68.44,6.2,62.23,3.99,20.53,3.31,2.0,0.0,40.38,64.88,True,Refunded,
O000051,C00023,2024-05-14,2,Organic,US,Desktop,Steady Repeaters,Supplements,1,89.06,13.21,75.85,3.99,35.91,3.33,2.4,0.0,38.2,50.36,True,Completed,54.0
O000052,C00024,2025-02-19,1,Google,US,Mobile,Steady Repeaters,Supplements,1,104.81,0.0,104.81,0.0,41.12,3.63,3.24,0.0,56.82,54.21,False,Completed,
O000053,C00024,2025-03-28,2,Google,US,Mobile,Steady Repeaters,Home,1,94.8,0.0,94.8,2.99,51.94,3.49,2.95,0.0,39.42,41.58,False,Completed,37.0
O000054,C00024,2025-05-26,3,Google,US,Mobile,Steady Repeaters,Beauty,1,95.64,12.15,83.49,0.0,36.09,3.63,2.62,0.0,41.15,49.29,True,Completed,59.0
O000055,C00025,2024-10-20,1,Email,UK,Mobile,Promo Shoppers,Accessories,1,133.64,27.49,106.16,2.99,42.45,3.59,3.28,0.0,59.83,56.36,True,Completed,
O000056,C00025,2024-12-19,2,Email,UK,Mobile,Promo Shoppers,Home,3,125.91,0.0,125.91,0.0,72.36,5.22,3.85,0.0,44.47,35.32,False,Completed,60.0
O000057,C00026,2024-05-03,1,Google,UK,Desktop,One-Time Buyers,Gift Sets,1,40.78,0.0,40.78,3.99,18.98,3.39,1.38,40.58,-19.56,-47.96,False,Completed,
O000058,C00027,2025-02-06,1,Facebook,Germany,Mobile,Promo Shoppers,Supplements,2,76.42,21.37,55.05,4.99,32.18,5.26,1.8,44.3,-23.49,-42.67,True,Completed,
O000059,C00028,2024-12-03,1,Email,France,Mobile,Steady Repeaters,Gift Sets,3,160.94,0.0,160.94,0.0,75.61,6.46,4.87,0.0,74.0,45.98,False,Completed,
O000060,C00028,2025-02-19,2,Email,France,Mobile,Steady Repeaters,Accessories,1,127.44,0.0,127.44,0.0,38.56,3.62,3.9,54.41,26.95,21.15,False,Completed,78.0
O000061,C00028,2025-04-03,3,Email,France,Mobile,Steady Repeaters,Accessories,2,70.21,0.0,70.21,0.0,23.92,4.11,2.24,0.0,39.94,56.89,False,Completed,43.0
O000062,C00029,2025-02-18,1,Facebook,US,Mobile,One-Time Buyers,Supplements,1,49.32,10.12,39.2,0.0,19.27,3.43,1.34,18.6,-3.44,-8.77,True,Completed,
O000063,C00030,2024-01-02,1,Facebook,UK,Mobile,One-Time Buyers,Bundles,1,58.26,13.52,44.74,3.99,25.51,3.5,1.5,0.0,18.22,40.72,True,Completed,
O000064,C00031,2024-01-09,1,Referral,UK,Desktop,Seasonal Gifters,Home,2,115.51,0.0,115.51,0.0,63.08,4.78,3.55,0.0,44.1,38.18,False,Completed,
O000065,C00032,2025-02-23,1,Facebook,UK,Desktop,One-Time Buyers,Supplements,2,35.25,7.07,28.18,3.99,14.97,5.13,1.02,0.0,11.05,39.21,True,Completed,
O000066,C00033,2024-04-08,1,Google,UK,Mobile,Seasonal Gifters,Home,3,149.84,0.0,149.84,3.99,80.2,6.42,4.55,0.0,62.66,41.82,False,Completed,
O000067,C00033,2024-09-02,2,Google,UK,Mobile,Seasonal Gifters,Home,1,89.27,0.0,89.27,0.0,47.21,3.52,2.79,0.0,35.76,40.05,False,Completed,147.0
O000068,C00034,2025-02-01,1,Referral,UK,Mobile,Promo Shoppers,Beauty,2,54.05,0.0,54.05,0.0,20.57,5.21,1.77,0.0,26.5,49.04,False,Completed,
O000069,C00034,2025-03-30,2,Referral,UK,Mobile,Promo Shoppers,Accessories,1,48.37,0.0,48.37,4.99,16.51,3.84,1.6,0.0,31.41,64.94,False,Completed,57.0
O000070,C00034,2025-06-09,3,Referral,UK,Mobile,Promo Shoppers,Supplements,2,66.18,0.0,66.18,3.99,26.64,4.56,2.12,0.0,36.85,55.68,False,Completed,71.0
O000071,C00035,2025-02-04,1,Facebook,US,Desktop,Steady Repeaters,Supplements,3,81.45,9.55,71.89,3.99,35.71,5.15,2.28,0.0,32.74,45.54,True,Completed,
O000072,C00035,2025-04-03,2,Facebook,US,Desktop,Steady Repeaters,Accessories,3,84.01,9.76,74.24,3.99,26.59,5.37,2.35,0.0,43.92,59.15,True,Completed,58.0
O000073,C00035,2025-06-24,3,Facebook,US,Desktop,Steady Repeaters,Supplements,3,109.83,0.0,109.83,0.0,44.04,6.38,3.39,0.0,56.03,51.01,False,Refunded,82.0
O000074,C00036,2024-08-17,1,Google,UK,Mobile,Promo Shoppers,Accessories,2,62.7,13.99,48.71,0.0,19.57,5.08,1.61,0.0,22.45,46.09,True,Completed,
O000075,C00037,2024-10-10,1,Referral,US,Desktop,Steady Repeaters,Gift Sets,2,120.82,0.0,120.82,0.0,58.37,4.14,3.7,0.0,54.61,45.2,False,Completed,
O000076,C00037,2024-11-27,2,Referral,US,Desktop,Steady Repeaters,Supplements,2,166.76,0.0,166.76,3.99,73.34,5.26,5.04,0.0,87.11,52.24,False,Completed,48.0
O000077,C00037,2024-12-21,3,Referral,US,Desktop,Steady Repeaters,Beauty,1,171.06,0.0,171.06,0.0,68.08,3.76,5.16,0.0,94.06,54.99,False,Completed,24.0
O000078,C00038,2025-05-26,1,Google,UK,Desktop,Steady Repeaters,Gift Sets,1,83.31,0.0,83.31,0.0,43.59,3.7,2.62,0.0,33.41,40.1,False,Partially Refunded,
O000079,C00039,2024-04-08,1,Referral,France,Desktop,Steady Repeaters,Supplements,1,131.08,0.0,131.08,2.99,55.63,3.45,4.0,0.0,70.98,54.15,False,Completed,
O000080,C00039,2024-06-20,2,Referral,France,Desktop,Steady Repeaters,Supplements,1,80.71,0.0,80.71,0.0,34.96,3.7,2.54,0.0,39.51,48.95,False,Completed,73.0
O000081,C00039,2024-08-20,3,Referral,France,Desktop,Steady Repeaters,Bundles,2,108.31,0.0,108.31,0.0,46.52,4.92,3.34,99.48,-45.94,-42.41,False,Completed,61.0
O000082,C00039,2024-10-02,4,Referral,France,Desktop,Steady Repeaters,Accessories,3,119.86,0.0,119.86,3.99,40.27,6.0,3.68,0.0,73.9,61.66,False,Completed,43.0
O000083,C00040,2024-06-09,1,Referral,UK,Mobile,Promo Shoppers,Gift Sets,2,45.04,13.72,31.32,0.0,23.18,4.8,1.11,0.0,2.23,7.13,True,Completed,
O000084,C00040,2024-08-06,2,Referral,UK,Mobile,Promo Shoppers,Accessories,1,43.45,14.85,28.6,0.0,14.58,3.8,1.03,0.0,9.2,32.15,True,Completed,58.0
O000085,C00040,2024-11-04,3,Referral,UK,Mobile,Promo Shoppers,Accessories,1,60.86,14.08,46.78,0.0,20.18,3.88,1.56,0.0,21.16,45.25,True,Completed,90.0
O000086,C00040,2025-01-20,4,Referral,UK,Mobile,Promo Shoppers,Accessories,2,42.31,8.06,34.25,0.0,13.56,5.28,1.19,15.07,-0.85,-2.47,True,Completed,77.0
O000087,C00040,2025-04-01,5,Referral,UK,Mobile,Promo Shoppers,Supplements,4,45.36,0.0,45.36,3.99,18.18,6.49,1.52,0.0,23.16,51.07,False,Completed,71.0
O000088,C00040,2025-05-24,6,Referral,UK,Mobile,Promo Shoppers,Beauty,4,65.15,11.73,53.42,0.0,25.71,5.84,1.75,0.0,20.12,37.67,True,Completed,53.0
O000089,C00041,2024-11-18,1,Email,UK,Tablet,Steady Repeaters,Beauty,3,106.41,0.0,106.41,0.0,39.84,5.45,3.29,0.0,57.84,54.35,False,Completed,
O000090,C00041,2024-12-01,2,Email,UK,Tablet,Steady Repeaters,Beauty,1,153.15,0.0,153.15,3.99,55.2,3.61,4.64,0.0,93.7,61.18,False,Completed,13.0
